code,zipcode,destcode
INDOJB_JB14_JB1432,45595,CBN20205
INDOJB_JB15_JB15,45419,CBN20300
INDOJB_JB15_JB1501,45462,CBN20301
INDOJB_JB15_JB1502,45468,CBN20320
INDOJB_JB15_JB1503,45464,CBN20302
INDOJB_JB15_JB1504,45476,CBN20321
INDOJB_JB15_JB1505,45466,CBN20303
INDOJB_JB15_JB1506,45467,CBN20322
INDOJB_JB15_JB1507,45453,CBN20304
INDOJB_JB15_JB1508,45458,CBN20306
INDOJB_JB15_JB1509,45454,CBN20305
INDOJB_JB15_JB1510,45452,CBN20307
INDOJB_JB15_JB1511,45453,CBN20324
INDOJB_JB15_JB1512,45457,CBN20308
INDOJB_JB15_JB1513,45465,CBN20309
INDOJB_JB15_JB1514,45473,CBN20310
INDOJB_JB15_JB1515,45456,CBN20311
INDOJB_JB15_JB1516,45419,CBN20300
INDOJB_JB15_JB1517,45464,CBN20325
INDOJB_JB15_JB1518,45475,CBN20313
INDOJB_JB15_JB1519,45459,CBN20314
INDOJB_JB15_JB1520,45472,CBN20315
INDOJB_JB15_JB1521,45474,CBN20323
INDOJB_JB15_JB1522,45471,CBN20317
INDOJB_JB15_JB1523,34871,TKG20406
INDOJB_JB15_JB1524,45463,CBN20319
INDOJB_JB15_JB1525,45419,CBN20300
INDOJB_JB15_JB1526,45471,CBN20326
INDOJB_CJ09_CJ09,43211,BDO21200
INDOJB_CJ09_CJ0901,43273,BDO21201
INDOJB_CJ09_CJ0902,43283,BDO21202
INDOJB_CJ09_CJ0903,43269,BDO21225
INDOJB_CJ09_CJ0904,43211,BDO21200
INDOJB_CJ09_CJ0905,43271,BDO21205
INDOJB_CJ09_CJ0906,43275,BDO21206
INDOJB_CJ09_CJ0907,43284,BDO21226
INDOJB_CJ09_CJ0908,43284,BDO21227
INDOJB_CJ09_CJ0909,43291,BDO21207
INDOJB_CJ09_CJ0910,43285,BDO21208
INDOJB_CJ09_CJ0911,43282,BDO21209
INDOJB_CJ09_CJ0912,43252,BDO21210
INDOJB_CJ09_CJ0913,43261,BDO21228
INDOJB_CJ09_CJ0914,43283,BDO21230
INDOJB_CJ09_CJ0915,43268,BDO21211
INDOJB_CJ09_CJ0916,43281,BDO21212
INDOJB_CJ09_CJ0917,43292,BDO21213
INDOJB_CJ09_CJ0918,43274,BDO21214
INDOJB_CJ09_CJ0919,43253,BDO21215
INDOJB_CJ09_CJ0920,43267,BDO21231
INDOJB_CJ09_CJ0921,43272,BDO21217
INDOJB_CJ09_CJ0922,43284,BDO21218
INDOJB_CJ09_CJ0923,43264,BDO21219
INDOJB_CJ09_CJ0924,43265,BDO21221
INDOJB_CJ09_CJ0925,43267,BDO21222
INDOJB_CJ09_CJ0926,43261,BDO21223
INDOJB_CJ09_CJ0927,43263,BDO21203
INDOJB_CJ09_CJ0928,43262,BDO21204
INDOJB_CJ09_CJ0929,43253,BDO21224
INDOJB_CJ09_CJ0930,43273,BDO21229
INDOJB_CJ09_CJ0931,43266,BDO21216
INDOJB_CJ09_CJ0932,43254,BDO21220
INDOJB_JB02_JB02,41311,KRW10023
INDOJB_JB02_JB0201,41374,KRW10018
INDOJB_JB02_JB0202,41354,KRW10001
INDOJB_JB02_JB0203,41363,KRW10019
INDOJB_JB02_JB0204,41356,KRW10002
INDOJB_JB02_JB0205,41373,KRW10003
INDOJB_JB02_JB0206,41384,KRW10004
INDOJB_JB02_JB0207,41384,KRW10020
INDOJB_JB02_JB0208,41353,KRW10021
INDOJB_JB02_JB0209,41374,KRW10005
INDOJB_JB02_JB0210,41352,KRW10022
INDOJB_JB02_JB0211,41311,KRW10023
INDOJB_JB02_JB0212,41371,KRW10024
INDOJB_JB02_JB0213,41371,KRW10006
INDOJB_JB02_JB0214,41374,KRW10025
INDOJB_JB02_JB0215,41358,KRW10026
INDOJB_JB02_JB0216,41371,KRW10027
INDOJB_JB02_JB0217,41355,KRW10008
INDOJB_JB02_JB0218,41362,KRW10009
INDOJB_JB02_JB0219,41353,KRW10010
INDOJB_JB02_JB0220,41373,KRW10028
INDOJB_JB02_JB0221,41382,KRW10011
INDOJB_JB02_JB0222,41352,KRW10012
INDOJB_JB02_JB0223,41381,KRW10013
INDOJB_JB02_JB0224,41362,KRW10017
INDOJB_JB02_JB0225,41361,KRW10014
INDOJB_JB02_JB0226,41361,KRW10029
INDOJB_JB02_JB0227,41385,KRW10015
INDOJB_JB02_JB0228,41357,KRW10030
INDOJB_JB02_JB0229,41372,KRW10016
INDOJB_JB02_JB0230,41383,KRW10007
INDOJB_JB16_JB16,41113,PWT10000
INDOJB_JB16_JB1601,41151,PWT10014
INDOJB_JB16_JB1602,41181,PWT10016
INDOJB_JB16_JB1603,41163,PWT10009
INDOJB_JB16_JB1604,41152,PWT10001
INDOJB_JB16_JB1605,41175,PWT10002
INDOJB_JB16_JB1606,41166,PWT10008
INDOJB_JB16_JB1607,41162,PWT10011
INDOJB_JB16_JB1608,41115,PWT10004
INDOJB_JB16_JB1609,41165,PWT10007
INDOJB_JB16_JB1610,41174,PWT10006
INDOJB_JB16_JB1611,41164,PWT10003
INDOJB_JB16_JB1612,41181,PWT10013
INDOJB_JB16_JB1613,41181,PWT10012
